link	likes	reposts
https://vk.com/wall-36507793_175959	66	7
https://vk.com/wall-36507793_167151	119	11
https://vk.com/wall-36507793_176603	49	1
https://vk.com/wall-36507793_167280	180	29
https://vk.com/wall-36507793_177499	76	12
https://vk.com/wall-36507793_173867	155	22
https://vk.com/wall-36507793_169688	96	13
https://vk.com/wall-36507793_164767	120	19
https://vk.com/wall-36507793_167190	147	15
https://vk.com/wall-36507793_168603	76	7
https://vk.com/wall-36507793_169272	28	3
https://vk.com/wall-36507793_176065	72	8
https://vk.com/wall-36507793_165157	94	7
https://vk.com/wall-36507793_168528	154	22
https://vk.com/wall-36507793_168201	99	10
https://vk.com/wall-36507793_170371	283	56
https://vk.com/wall-36507793_169344	155	14
https://vk.com/wall-36507793_175759	177	66
https://vk.com/wall-36507793_175803	151	57
https://vk.com/wall-36507793_167692	59	6
https://vk.com/wall-36507793_174212	183	16
https://vk.com/wall-36507793_169034	221	43
https://vk.com/wall-36507793_164077	156	25
https://vk.com/wall-36507793_166808	304	56
https://vk.com/wall-36507793_166738	90	10
https://vk.com/wall-36507793_178366	173	36
https://vk.com/wall-36507793_174707	160	27
https://vk.com/wall-36507793_176145	127	23
https://vk.com/wall-36507793_177535	54	5
https://vk.com/wall-36507793_177077	112	14
https://vk.com/wall-36507793_166696	68	4
https://vk.com/wall-36507793_176451	62	12
https://vk.com/wall-36507793_169119	79	11
https://vk.com/wall-36507793_179125	112	18
https://vk.com/wall-36507793_176313	62	7
https://vk.com/wall-36507793_167445	138	16
https://vk.com/wall-36507793_178287	149	25
https://vk.com/wall-36507793_168542	93	10
https://vk.com/wall-36507793_173060	240	27
https://vk.com/wall-36507793_175494	144	32
https://vk.com/wall-36507793_168158	259	48
https://vk.com/wall-36507793_177286	74	13
https://vk.com/wall-36507793_164393	276	29
https://vk.com/wall-36507793_171731	259	44
https://vk.com/wall-36507793_169129	55	4
https://vk.com/wall-36507793_176925	84	24
https://vk.com/wall-36507793_168019	94	9
https://vk.com/wall-36507793_169450	275	33
https://vk.com/wall-36507793_167023	201	45
https://vk.com/wall-36507793_166514	72	15
https://vk.com/wall-36507793_177800	63	4
https://vk.com/wall-36507793_169422	119	25
https://vk.com/wall-36507793_177810	0	0
https://vk.com/wall-36507793_176113	121	16
https://vk.com/wall-36507793_164223	64	10
https://vk.com/wall-36507793_171924	96	16
https://vk.com/wall-36507793_168276	183	43
https://vk.com/wall-36507793_169624	122	20
https://vk.com/wall-36507793_169169	328	66
